stimulus_id,prompt_group,phrasing_id,cell_id,family,direction,frame_type,negation,concept,concept_number,split,other_concept,carrier,carrier_order,target,similarity_to_this_concept,max_similarity,n_prompt_tokens,prompt
A1_dust_c1,A1|dust|1,A1,focus_imp_none,focus,toward,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: concentrate on dust."
A2_dust_c1,A2|dust|1,A2,focus_imp_none,focus,toward,imperative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,28,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: think about dust."
B1_dust_c1,B1|dust|1,B1,focus_decl_none,focus,toward,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is relevant to this task."
B2_dust_c1,B2|dust|1,B2,focus_decl_none,focus,toward,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,31,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is related to this task."
B3_dust_c1,B3|dust|1,B3,focus_decl_none,focus,toward,declarative,none,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: dust is the point here."
C1_dust_c1,C1|dust|1,C1,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not ignore dust."
C2_dust_c1,C2|dust|1,C2,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not overlook dust."
C3_dust_c1,C3|dust|1,C3,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not set dust aside."
C4_dust_c1,C4|dust|1,C4,focus_imp_syn,focus_neg,toward,imperative,syntactic,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,30,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not skip past dust."
D1_dust_c1,D1|dust|1,D1,focus_imp_both,focus_neg,toward,imperative,both,dust,mass,held_out,,The train arrived precisely on schedule.,1,The train arrived precisely on schedule.,0.542,2.11,29,"Write exactly this sentence and nothing else:
""The train arrived precisely on schedule.""
While you write it: do not disregard dust."
