concept,layer,k,control_max,task_max,split,control_fires,task_fires,verdict
algorithms,16,5,1043.802978515625,,held_out,True,False,CONTEXT_NULL
algorithms,31,5,1868.4061279296875,,held_out,True,False,CONTEXT_NULL
algorithms,40,5,7615.67724609375,,held_out,True,False,CONTEXT_NULL
algorithms,53,5,9360.5546875,,held_out,True,False,CONTEXT_NULL
amphitheaters,16,5,212.8570098876953,0.0,pilot,True,False,CONTEXT_NULL
amphitheaters,31,2,328.96319580078125,31.81732177734375,pilot,True,True,OK
amphitheaters,40,4,3844.00244140625,642.7110595703125,pilot,True,True,OK
amphitheaters,53,5,11862.45703125,387.7320861816406,pilot,True,True,OK
aquariums,16,5,274.4660949707031,,held_out,True,False,CONTEXT_NULL
aquariums,31,1,1741.578369140625,,held_out,True,False,CONTEXT_NULL
aquariums,40,5,9636.7958984375,,held_out,True,False,CONTEXT_NULL
aquariums,53,5,15503.376953125,,held_out,True,False,CONTEXT_NULL
avalanches,16,5,300.17706298828125,,held_out,True,False,CONTEXT_NULL
avalanches,31,5,2206.6494140625,,held_out,True,False,CONTEXT_NULL
avalanches,40,5,7943.37548828125,,held_out,True,False,CONTEXT_NULL
avalanches,53,5,9869.65234375,,held_out,True,False,CONTEXT_NULL
bags,16,3,80.79275512695312,,held_out,True,False,CONTEXT_NULL
bags,31,0,0.0,,held_out,False,False,NO_LATENTS
bags,40,1,5306.61474609375,,held_out,True,False,CONTEXT_NULL
bags,53,0,0.0,,held_out,False,False,NO_LATENTS
blood,16,5,753.0347900390625,,held_out,True,False,CONTEXT_NULL
blood,31,3,1291.787841796875,,held_out,True,False,CONTEXT_NULL
blood,40,4,10710.955078125,,held_out,True,False,CONTEXT_NULL
blood,53,5,6492.57666015625,,held_out,True,False,CONTEXT_NULL
boulders,16,5,266.4067687988281,,held_out,True,False,CONTEXT_NULL
boulders,31,3,885.13916015625,,held_out,True,False,CONTEXT_NULL
boulders,40,5,5232.83984375,,held_out,True,False,CONTEXT_NULL
boulders,53,3,6498.001953125,,held_out,True,False,CONTEXT_NULL
bread,16,5,793.7013549804688,,held_out,True,False,CONTEXT_NULL
bread,31,1,1091.09423828125,,held_out,True,False,CONTEXT_NULL
bread,40,4,3926.641845703125,,held_out,True,False,CONTEXT_NULL
bread,53,4,3846.830078125,,held_out,True,False,CONTEXT_NULL
cameras,16,4,476.4842529296875,,held_out,True,False,CONTEXT_NULL
cameras,31,2,588.1338500976562,,held_out,True,False,CONTEXT_NULL
cameras,40,5,5964.02978515625,,held_out,True,False,CONTEXT_NULL
cameras,53,1,3431.70361328125,,held_out,True,False,CONTEXT_NULL
caverns,16,5,312.842041015625,,held_out,True,False,CONTEXT_NULL
caverns,31,2,574.9873046875,,held_out,True,False,CONTEXT_NULL
caverns,40,5,7296.50537109375,,held_out,True,False,CONTEXT_NULL
caverns,53,5,6893.478515625,,held_out,True,False,CONTEXT_NULL
constellations,16,5,440.4338684082031,,held_out,True,False,CONTEXT_NULL
constellations,31,2,352.9620361328125,,held_out,True,False,CONTEXT_NULL
constellations,40,5,6372.7822265625,,held_out,True,False,CONTEXT_NULL
constellations,53,2,2050.7802734375,,held_out,True,False,CONTEXT_NULL
contraptions,16,5,300.5806884765625,,held_out,True,False,CONTEXT_NULL
contraptions,31,5,1107.860107421875,,held_out,True,False,CONTEXT_NULL
contraptions,40,5,7374.91796875,,held_out,True,False,CONTEXT_NULL
contraptions,53,5,12839.986328125,,held_out,True,False,CONTEXT_NULL
denim,16,5,686.92578125,,held_out,True,False,CONTEXT_NULL
denim,31,1,287.8343505859375,,held_out,True,False,CONTEXT_NULL
denim,40,5,6603.15625,,held_out,True,False,CONTEXT_NULL
denim,53,4,7142.9208984375,,held_out,True,False,CONTEXT_NULL
deserts,16,3,241.8236083984375,,held_out,True,False,CONTEXT_NULL
deserts,31,1,343.2344970703125,,held_out,True,False,CONTEXT_NULL
deserts,40,0,0.0,,held_out,False,False,NO_LATENTS
deserts,53,3,4747.2353515625,,held_out,True,False,CONTEXT_NULL
dirigibles,16,5,199.0098876953125,,held_out,True,False,CONTEXT_NULL
dirigibles,31,5,713.7198486328125,,held_out,True,False,CONTEXT_NULL
dirigibles,40,5,8104.24755859375,,held_out,True,False,CONTEXT_NULL
dirigibles,53,5,11313.365234375,,held_out,True,False,CONTEXT_NULL
dust,16,5,395.08197021484375,,held_out,True,False,CONTEXT_NULL
dust,31,2,796.8877563476562,,held_out,True,False,CONTEXT_NULL
dust,40,4,4139.806640625,,held_out,True,False,CONTEXT_NULL
dust,53,5,4200.69091796875,,held_out,True,False,CONTEXT_NULL
dynasties,16,5,608.7669067382812,,held_out,True,False,CONTEXT_NULL
dynasties,31,5,983.322509765625,,held_out,True,False,CONTEXT_NULL
dynasties,40,5,7652.86962890625,,held_out,True,False,CONTEXT_NULL
dynasties,53,5,8041.5224609375,,held_out,True,False,CONTEXT_NULL
fountains,16,5,343.7940673828125,,held_out,True,False,CONTEXT_NULL
fountains,31,2,791.4496459960938,,held_out,True,False,CONTEXT_NULL
fountains,40,2,1574.26220703125,,held_out,True,False,CONTEXT_NULL
fountains,53,1,1334.258056640625,,held_out,True,False,CONTEXT_NULL
frosts,16,5,332.7968444824219,12.401622772216797,pilot,True,True,OK
frosts,31,5,935.461181640625,48.77415466308594,pilot,True,True,OK
frosts,40,5,4566.703125,232.25985717773438,pilot,True,True,OK
frosts,53,5,5819.0322265625,156.0224151611328,pilot,True,True,OK
harmonies,16,5,521.2279663085938,,held_out,True,False,CONTEXT_NULL
harmonies,31,5,2011.3016357421875,,held_out,True,False,CONTEXT_NULL
harmonies,40,5,8004.19091796875,,held_out,True,False,CONTEXT_NULL
harmonies,53,3,3305.588623046875,,held_out,True,False,CONTEXT_NULL
illusions,16,5,522.66845703125,,held_out,True,False,CONTEXT_NULL
illusions,31,4,1053.518798828125,,held_out,True,False,CONTEXT_NULL
illusions,40,5,7631.796875,,held_out,True,False,CONTEXT_NULL
illusions,53,4,6006.5107421875,,held_out,True,False,CONTEXT_NULL
information,16,5,726.5125122070312,,held_out,True,False,CONTEXT_NULL
information,31,4,523.710693359375,,held_out,True,False,CONTEXT_NULL
information,40,5,8782.751953125,,held_out,True,False,CONTEXT_NULL
information,53,5,16533.6328125,,held_out,True,False,CONTEXT_NULL
kaleidoscopes,16,5,230.09225463867188,0.0,pilot,True,False,CONTEXT_NULL
kaleidoscopes,31,5,664.2854614257812,0.0,pilot,True,False,CONTEXT_NULL
kaleidoscopes,40,5,4080.777099609375,246.80560302734375,pilot,True,True,OK
kaleidoscopes,53,5,3116.107421875,0.0,pilot,True,False,CONTEXT_NULL
lightning,16,3,178.92510986328125,,held_out,True,False,CONTEXT_NULL
lightning,31,4,832.2756958007812,,held_out,True,False,CONTEXT_NULL
lightning,40,2,705.7966918945312,,held_out,True,False,CONTEXT_NULL
lightning,53,3,2458.41845703125,,held_out,True,False,CONTEXT_NULL
masquerades,16,5,538.66748046875,,held_out,True,False,CONTEXT_NULL
masquerades,31,5,1427.6717529296875,,held_out,True,False,CONTEXT_NULL
masquerades,40,5,4987.16015625,,held_out,True,False,CONTEXT_NULL
masquerades,53,5,9963.7470703125,,held_out,True,False,CONTEXT_NULL
memories,16,5,653.49560546875,,held_out,True,False,CONTEXT_NULL
memories,31,5,2183.36474609375,,held_out,True,False,CONTEXT_NULL
memories,40,3,7981.1796875,,held_out,True,False,CONTEXT_NULL
memories,53,2,5380.33984375,,held_out,True,False,CONTEXT_NULL
milk,16,5,688.7725830078125,,held_out,True,False,CONTEXT_NULL
milk,31,1,318.23858642578125,,held_out,True,False,CONTEXT_NULL
milk,40,1,1090.09033203125,,held_out,True,False,CONTEXT_NULL
milk,53,5,7567.7802734375,,held_out,True,False,CONTEXT_NULL
mirrors,16,5,192.02334594726562,,held_out,True,False,CONTEXT_NULL
mirrors,31,2,547.4452514648438,,held_out,True,False,CONTEXT_NULL
mirrors,40,2,2321.829833984375,,held_out,True,False,CONTEXT_NULL
mirrors,53,1,2361.275390625,,held_out,True,False,CONTEXT_NULL
monoliths,16,5,231.91326904296875,,held_out,True,False,CONTEXT_NULL
monoliths,31,5,1475.2091064453125,,held_out,True,False,CONTEXT_NULL
monoliths,40,5,4739.33056640625,,held_out,True,False,CONTEXT_NULL
monoliths,53,5,4357.2216796875,,held_out,True,False,CONTEXT_NULL
oceans,16,2,490.93280029296875,,held_out,True,False,CONTEXT_NULL
oceans,31,3,927.8856201171875,,held_out,True,False,CONTEXT_NULL
oceans,40,0,0.0,,held_out,False,False,NO_LATENTS
oceans,53,1,1268.33349609375,,held_out,True,False,CONTEXT_NULL
origami,16,5,417.843994140625,,held_out,True,False,CONTEXT_NULL
origami,31,5,1576.213623046875,,held_out,True,False,CONTEXT_NULL
origami,40,5,5047.8193359375,,held_out,True,False,CONTEXT_NULL
origami,53,4,8234.80859375,,held_out,True,False,CONTEXT_NULL
peace,16,4,585.9318237304688,,held_out,True,False,CONTEXT_NULL
peace,31,5,2628.872802734375,,held_out,True,False,CONTEXT_NULL
peace,40,5,8159.6806640625,,held_out,True,False,CONTEXT_NULL
peace,53,5,14336.4677734375,,held_out,True,False,CONTEXT_NULL
phones,16,5,866.1474609375,,held_out,True,False,CONTEXT_NULL
phones,31,4,2720.572265625,,held_out,True,False,CONTEXT_NULL
phones,40,5,7860.322265625,,held_out,True,False,CONTEXT_NULL
